Record Length,2500,Points,0,-8.00E-01,,Record Length,2500,Points,0,8.00E-02
Sample Interval,4.00E-04,s,4.00E-04,-8.80E-01,,Sample Interval,4.00E-04,s,4.00E-04,8.00E-02
Trigger Point,0,Samples,8.00E-04,-8.80E-01,,Trigger Point,0,Samples,8.00E-04,8.00E-02
,,,1.20E-03,-8.80E-01,,,,,1.20E-03,8.00E-02
,,,1.60E-03,-9.60E-01,,,,,1.60E-03,8.00E-02
,,,2.00E-03,-9.60E-01,,,,,2.00E-03,8.00E-02
Source,CH1,,2.40E-03,-1.04,,Source,CH2,,2.40E-03,8.00E-02
Vertical Units,Volts,,2.80E-03,-1.04,,Vertical Units,Volts,,2.80E-03,8.00E-02
Vertical Scale,2,,3.20E-03,-1.04,,Vertical Scale,2,,3.20E-03,8.00E-02
Vertical Offset,0,,3.60E-03,-1.12,,Vertical Offset,0,,3.60E-03,8.00E-02
Horizontal Units,s,,4.00E-03,-1.12,,Horizontal Units,s,,4.00E-03,8.00E-02
Horizontal Scale,1.00E-01,,4.40E-03,-1.12,,Horizontal Scale,1.00E-01,,4.40E-03,8.00E-02
Pt Fmt,Y,,4.80E-03,-1.1999999,,Pt Fmt,Y,,4.80E-03,8.00E-02
Yzero,8.40E-01,,5.20E-03,-1.1999999,,Yzero,6.40E-01,,5.20E-03,8.00E-02
Probe Atten,1,,5.60E-03,-1.1999999,,Probe Atten,1,,5.60E-03,0
,,,6.00E-03,-1.28,,,,,6.00E-03,8.00E-02
Note,TBS 1072B-EDU - 2:54:55 PM   10/21/2025,,6.40E-03,-1.36,,Note,TBS 1072B-EDU - 2:54:55 PM   10/21/2025,,6.40E-03,8.00E-02
,,,6.80E-03,-1.36,,,,,6.80E-03,8.00E-02
,,,7.20E-03,-1.36,,,,,7.20E-03,8.00E-02
,,,7.60E-03,-1.36,,,,,7.60E-03,8.00E-02
,,,8.00E-03,-1.4399999,,,,,8.00E-03,8.00E-02
,,,8.40E-03,-1.4399999,,,,,8.40E-03,0
,,,8.80E-03,-1.4399999,,,,,8.80E-03,8.00E-02
,,,9.20E-03,-1.4399999,,,,,9.20E-03,8.00E-02
,,,9.60E-03,-1.52,,,,,9.60E-03,8.00E-02
,,,1.00E-02,-1.5999999,,,,,1.00E-02,8.00E-02
,,,1.04E-02,-1.5999999,,,,,1.04E-02,8.00E-02
,,,1.08E-02,-1.6799999,,,,,1.08E-02,8.00E-02
,,,1.12E-02,-1.6799999,,,,,1.12E-02,8.00E-02
,,,1.16E-02,-1.6799999,,,,,1.16E-02,8.00E-02
,,,1.20E-02,-1.6799999,,,,,1.20E-02,0
,,,1.24E-02,-1.76,,,,,1.24E-02,8.00E-02
,,,1.28E-02,-1.76,,,,,1.28E-02,8.00E-02
,,,1.32E-02,-1.76,,,,,1.32E-02,8.00E-02
,,,1.36E-02,-1.8399999,,,,,1.36E-02,8.00E-02
,,,1.40E-02,-1.8399999,,,,,1.40E-02,8.00E-02
,,,1.44E-02,-1.92,,,,,1.44E-02,0
,,,1.48E-02,-1.92,,,,,1.48E-02,8.00E-02
,,,1.52E-02,-1.92,,,,,1.52E-02,0
,,,1.56E-02,-1.92,,,,,1.56E-02,8.00E-02
,,,1.60E-02,-1.92,,,,,1.60E-02,0
,,,1.64E-02,-1.92,,,,,1.64E-02,8.00E-02
,,,1.68E-02,-1.92,,,,,1.68E-02,8.00E-02
,,,1.72E-02,-1.8399999,,,,,1.72E-02,8.00E-02
,,,1.76E-02,-1.8399999,,,,,1.76E-02,8.00E-02
,,,1.80E-02,-1.76,,,,,1.80E-02,0
